ranking,name,logo,nativePaymentAsset,floorPrice,numOwners,totalSupply,sevenDayChange,sevenDayVolume,oneDayChange,oneDayVolume,thirtyDayChange,totalVolume
1,CryptoPunks,https://lh3.googleusercontent.com/BdxvLseXcfl57BiuQcQYdJ64v-aI8din7WPk0Pgo3qQFhAUH-B6i-dCqqc_mCkRIzULmwzwecnohLhrcH8A9mpWIZqA7ygc52Sr81hE=s120,ETH,,3427,9999,2.50480456041571,11627.819994,-0.624949644152008,502.74,-0.304216708452482,865010.922843308
2,Bored Ape Yacht Club,https://lh3.googleusercontent.com/Ju9CkWtV-1Okvf45wo8UctR-M9He2PjILP0oOvxE89AyiPPGtrR3gysu1Zgy0hjd2xKIgjJJtWIc0ybj4Vd7wv8t3pxDGHoJBzDB=s120,ETH,95.88,6382,9999,1.465180138424,11822.6566,-0.702383916103005,1201.45,-0.541120537986582,425366.372401189
3,Invisible Friends,https://lh3.googleusercontent.com/lW22aEwUE0IqGaYm5HRiMS8DwkDwsdjPpprEqYnBqo2s7gSR-JqcYOjU9LM6p32ujG_YAEd72aDyox-pdCVK10G-u1qZ3zAsn2r9=s120,ETH,7.29,4142,5000,-0.784607929278918,1477.827399,0.912162162162162,246.9175,0,31549.079342248
4,Azuki,https://lh3.googleusercontent.com/H8jOCJuQokNqGBpkBN5wk1oZwO7LM8bNnrHCaekV2nKjnCqw6UB5oaH8XyNeBDj6bA_n1mjejzhFQUP3O1NfjFLHr3FOaeHcTOOT=s120,ETH,9.3,5579,10000,-0.297119638808055,2693.2769,0.144152132340733,489.951,-0.746605652262697,128752.157179761
5,3Landers,https://lh3.googleusercontent.com/jM8itRiSM3hI8RWokMkhR97JdoIzukU3DUEO-9MD3i6r6DnTBW6efbv1617zES0MfoiWzW4f3UaL9lgRr61vf3Cj4DDPIsk_XjNBXQ=s120,ETH,1.878,5431,10000,-0.489288186168763,1408.29489667066,-0.041648805175374,186.67329999999,0,23940.2529340954
6,CLONE X - X TAKASHI MURAKAMI,https://lh3.googleusercontent.com/XN0XuD8Uh3jyRWNtPTFeXJg_ht8m5ofDx6aHklOiy4amhFuWUa0JaR6It49AH8tlnYS386Q0TW_-Lmedn0UET_ko1a3CbJGeu5iHMg=s120,ETH,11.99,8563,19083,-0.289183635080138,3712.652232,0.207687604768127,416.2055,-0.664488639217017,141579.991257757
7,Mutant Ape Yacht Club,https://lh3.googleusercontent.com/lHexKRMpw-aoSyB1WdFBff5yfANLReFxHzt1DOj_sg7mS14yARpuvYcUtsyyx-Nkpk6WTcUPFoG53VnLJezYi8hAs0OxNZwlw6Y-dmI=s120,ETH,19.38,11850,18007,1.12270701924771,6819.25435537024,-0.220841615048701,1023.9231999999,-0.606640004611198,260855.300735138
8,NFT Worlds,https://lh3.googleusercontent.com/DIafQlRW63pQ8UJqmdQBBOHZcubAE9rAkbovVx_WU_-TmIg3hF7z0y60gUGvah85_uYVgBxmhNfWUXwajaUmYZsrCPp8ZdYE0Z-wrt0=s120,ETH,10.6,1291,10000,0.127330917192533,2217.03164110227,-0.020842802415428,150.8,1.84118059830958,38317.675656078
9,mfers,https://lh3.googleusercontent.com/J2iIgy5_gmA8IS6sXGKGZeFVZwhldQylk7w7fLepTE9S7ICPCn_dlo8kypX8Ju0N6wvLVOKsbP_7bNGd8cpKmWhFQmqMXOC8q2sOdqw=s120,ETH,3.14,5075,10020,-0.041846764524769,1628.01116506742,-0.574919732750111,192.932058154328,2.37810506546799,26688.8501273939
10,CyberBrokers,https://lh3.googleusercontent.com/Qd1IEPYz_0YlMaclPwb6_9PyP7afZIzH15IdIU2X6t1Wvg81DwpAaWOY0cNmxy173C4yMA7sM3xF9-HJsCSKJdx6KvDR3old3IKuTIc=s120,ETH,2.95,3695,9986,0.398483092336162,10160.739604595,-0.247021419767194,207.691061588529,0,17426.2830067835
11,tubby cats by tubby collective,https://lh3.googleusercontent.com/XHZY9623keDQqFSDHKqOdcjD99Y7N82K1egYRM2Mm1Z-Jxn5myrkKiC5NBktWKStVtTzDzwELy9dNpzTWJTIkLsdMIxUHI86jduQ=s120,ETH,0.4,9895,20000,-0.271182956896452,513.46106227023,-0.309154290646275,90.7466000000001,0,15026.9258030693
12,Meebits,https://lh3.googleusercontent.com/d784iHHbqQFVH1XYD6HoT4u3y_Fsu_9FZUltWjnOzoYv7qqB5dLUqpGyHBd8Gq3h4mykK5Enj8pxqOUorgD2PfIWcVj9ugvu8l0=s120,ETH,4.7,6025,20000,15.5319916146095,10561.2114883925,-0.599831830212399,373.5796,2.88133888770277,95707.8263596397
13,The Sandbox,https://lh3.googleusercontent.com/SXH8tW1siikB80rwCRnjm1a5xM_MwTg9Xl9Db6mioIk9HIlDM09pVoSR7GKJgS6ulSUpgW9BDtMk_ePX_NKgO9A=s60,ETH,2.94,20295,167378,-0.054933924190953,2025.02822458139,0.466131276150589,254.557145,-0.503976488913488,155991.90283101
14,Doodles,https://lh3.googleusercontent.com/7B0qai02OdHA8P_EOVK672qUliyjQdQDGNrACxs7WnTgZAkJa_wWURnIFKeOh5VTf8cfTqW3wQpozGedaC9mteKphEOtztls02RlWQ=s120,ETH,12.8,4062,10000,0.546450009158985,2726.004599,0.713399371147825,753.637,-0.460536207975974,89304.461783976
15,Tasty Bones XYZ,https://lh3.googleusercontent.com/pFx2k4GbEd30FbIPOGagqG646QGUk-0Ns8n6kSgozxY4aJSI2AYm1a_Acvu0jngeIx7hSeZeZTHLKUiUEt9qXfE-DWRmJyZJQ_AnKA=s120,ETH,0.52,3464,5049,-0.37142547246272,135.0350478,-0.18239154256114,13.1321,0,9976.25296289756
16,RTFKT - MNLTH,https://lh3.googleusercontent.com/gp39NTyxBPazqowYV9XTFxAU4eNk1i7FlmonHW4Zr7eS9UxEvrZ7f04rOLEhDxcuGxsbUx1Rm_N6Ky_Dp4A1ZQYHFAaEWj5YdBF0qg=s120,ETH,4.7999,8910,1,-0.252184717531935,1297.790199,0.963466070900054,198.357,-0.013845922678248,18176.1296276987
17,WonderPals,https://lh3.googleusercontent.com/DA_iUjt7S9PdmAANh0aqMkxYVhvGogTuKbMSzFO3uEnbvRRt5hn1B8DuN50HQpkRtH34QX7EOYYKIayz1q5KgZWfgLedNo7xBQzK=s120,ETH,0.585,6963,10000,-0.856243383357305,662.387939267701,-0.676612593058826,67.65079899,0,8947.46447457825
18,Karafuru,https://lh3.googleusercontent.com/VMG3VFncJG-pyqsRAwQznZGqYDw4RkPjJnJNJwrDERFhD4pWLh82q66JJ8Qh0vCPoovjoyigJwLqfFpa5tMAVV5ASIiR5nF1XkQFpec=s120,ETH,2.7,3670,5553,-0.26761270414989,532.22365,2.59047246405165,183.527,-0.686673966516955,36549.486076744
19,Edenhorde,https://lh3.googleusercontent.com/jrJiN_NEI5ySl1EV8V6qjPA4zErIe4lWpsqWb5RoqaNlsx_nm3tKI4HLgDVHjzvHN3PSx0NfYwbO49YVucd1J5W3-dfcN-dqUEFY5A=s120,ETH,0.3777,3413,8680,-0.589905550977926,118.0702149,0.067603644568456,6.1984,0,8417.39956485215
20,Antonym: GENESIS,https://lh3.googleusercontent.com/VvaQMGvYpCRISPBOo4ZgI-9xmZq2XZnRtp3veKYMFinA1jN8Ab0EsVRKWQm0rIy8kN8qdibhDUe7lxVZKuMgg57bzo3mOANKb6b9tQ=s120,ETH,0.599,5321,8888,-0.415633131784287,2863.77703286904,-0.733479172159182,432.848476582609,0,7764.42624594509
21,CatBlox Genesis Collection,https://lh3.googleusercontent.com/ruiSdBeZwFASTXoEuKtOQECfEj23sNlkJT-oHMN907STbDjqT3lvvZFDjCNcy8ynGb9yLDkFip0bf_Ed_8eCRpbsSO_s6dBKNfRcnA=s120,ETH,0.239,5091,9999,-0.756214915793023,137.11317,1.418619774595,23.059,0,7585.58496029352
22,Starcatchers,https://lh3.googleusercontent.com/uRZrWesOYmPJBCQV-YFcGslv6HncNKMmSkMCtUxGI1uOLVm713TPmN9BIs35-jEg8dXvgUnhxy0Udyj4qwZjNPliNSTP5DtiS7vkXw=s120,ETH,0.2679,5622,10000,-0.565945092940814,287.773405639928,0.113771310900282,20.0501,0,7330.18226987081
23,Cool Pets NFT,https://lh3.googleusercontent.com/dNMaqYrBRTBWeTQOJsKg0IedkMSS_SB37x1ivbcydSWur1Pv3_sETgQYQdeCgp8Iv4gTT60xz8pnWkfAJF7HwHibOfB94wT5l2WJ2Q=s120,ETH,1.3199,10201,18663,-0.063071189887379,666.375146550524,0.610225539479616,94.654693,-0.46582135687328,20570.2126886735
24,Worldwide Webb Land,https://lh3.googleusercontent.com/Tc7kJNU7hcpmCCykek6ANVhWervl1zhbNIlM_T3VSR1hsSCrOGG6IiNALSs8v-OgUVJvoKW6tVbJWjnJti_o0ihvUNlxFWfZV9V9=s120,ETH,1.85,4877,9508,-0.502188246055082,484.83032,0.200097143070918,96.23699,0.87033254811902,20315.1546577339
25,Cool Cats NFT,https://lh3.googleusercontent.com/LIov33kogXOK4XZd2ESj29sqm_Hww5JSdO7AFn5wjt8xgnJJ0UpNV9yITqxra3s_LMEW1AnnrgOVB_hDpjJRA1uF4skI5Sdi_9rULi8=s120,ETH,7.99,5329,9941,0.221065791073913,1246.9961,-0.44281121435646,106.1,-0.5014945460111,90882.3526924075
26,Dippies,https://lh3.googleusercontent.com/ltLmL2_T4KKONimcbknNYs3SeQoKLCKgE429Y39zSMIpvEIy8PW8xXMnztPCehNCktTGhJAsKIzksM070xfmhFhsIyrs0U05N50q=s120,ETH,0.352,5574,8888,-0.801942552132986,1126.60111294732,-0.18423695899804,47.2729334444444,0,6814.8553294906
