ranking,name,logo,nativePaymentAsset,floorPrice,numOwners,totalSupply,sevenDayChange,sevenDayVolume,oneDayChange,oneDayVolume,thirtyDayChange,totalVolume
1,G.rilla OFFICIAL,https://lh3.googleusercontent.com/97GgxcGM-qnu20xEe0sPH1DlIHJB3R6tFcmkowW287_hXeala1o0Tu-AyHksa9DE5Q3npRbevahOkBGY7Fp9a4BFVMRK7N5vdvufDw=s120,KLAY,1520,4236,10000,-0.254450265231738,595293.3275,1.61527902472257,250371.096,0,13936038.6680918
2,Meta Toy DragonZ,https://lh3.googleusercontent.com/02PLvfCkPwgAeWBEmRa0HjdfXAabG4-fE9zIrNmecO2YMJUax-ZzvlkqNzT7w2GS19-9us0eoFWvd7S6O2DrSKdW3DrXVlegY1Hefg=s120,KLAY,2699,2624,9726,-0.260057305622691,551910.263123857,0.99530750757022,94774.0781525106,2.46987380726864,15241052.629597
3,THE META KONGZ,https://lh3.googleusercontent.com/AX_uuKN-OFhtHXtzw5PJ3K-bGW5tg2svacBEv8xO_ii3UCEo6UTjqec4MiXFGP3gsxPD-p-W0d315pEvIOxG3pKNWfT3G8KvAgIl=s120,KLAY,16800,3003,9993,-0.276085393988965,1299674.45944058,-0.179175888389772,116253.985904846,0.957024796700301,23058309.5546458
4,Sunmiya Club Official,https://lh3.googleusercontent.com/f4gveNvJbpfeTVBrUHSMr5U9QlKPu-9yqzfg3gwe1dZST1iJra-5J-g1Tps5HttiSRQvcnR8wujMh1nqHWxg7E-yvmkz-dAjq7vR=s120,KLAY,599,3213,10000,-0.630171329425382,253984.220326954,-0.076728745747432,39566.1315287634,0,6834053.66934672
5,SYLTARE-OFFICIAL,https://lh3.googleusercontent.com/riYV0mtDcxosNw5Z6d_AdBAd-tZJgjZNmSAJkVaW538rjtp0LVZFqCmre-73oVU-L_a4eR0ReOAXJX848IeqTr2dPJ7aQ1gM8iXM=s120,KLAY,2800,2410,9602,-0.858152150802184,23433.1345867779,0,2508.90091935523,0.022402803864078,12667116.4981334
6,"Meta Adventure, frozen",https://lh3.googleusercontent.com/F1HOms1IzBqhDeMetFKXY9oH6pNmqry_L6lvrP1iwo_K4twmTO9_PBii-Tav6_f7zqVR1_2CSvkn3XZ2O9todehAAZdStnYJp4p9bg=s120,KLAY,0.9,3394,9999,-0.808514883464504,718966.741741044,-1,0,0,4473654.07592746
7,METAMON PROJECT,https://lh3.googleusercontent.com/uHuULA3QrcMJGpYDx57wkLqfeZTeyp_k-vuQWPCaPwhYPUGTEWHLkZL7d_RtAoaaxcWNMmudNWVwFHhipLjCPRdTnAd_frnJs09M2g=s120,KLAY,127,1587,10000,-0.489153675804512,45651.1151169312,0.100659662838993,4468.63657424342,0,4414144.17882722
8,KlayCity District,https://lh3.googleusercontent.com/QJgoaGpc1G1Diea0vFP7JImvBF8F7OczTxdhHMUR1F439HNUooSdQxMhvRGwCPcFjJg9iERKqk4Lvz7qzxqBzQhqMKW925mPxKyJ=s120,KLAY,14300,643,1000,-0.742429358162406,173683.015613798,-0.094050757486207,14506.839975492,2.94426738079958,4339217.92301156
9,Toxic Ape Official,https://lh3.googleusercontent.com/6Uhvh9DfXogEtRO6N3Xrylc7ZVAlD5gB94vy79QryaBD0jg269mtIdRg3tqEs7mcfCYwGUvKh0Df6M8wcdocR-Pg_gP41T4FJLTM=s120,KLAY,140,2795,9999,-0.092086886606091,58905.4482902919,0.821109401525201,10225.8870826932,0,3403225.88725504
10,"SYLTARE, Frozen",https://lh3.googleusercontent.com/sWsPZIov5KKOPsEJkt2OmwxGEkyQH65YDrZhqaX7I-Ayj-XQRNhdxyXwQniyi0GplXl_CHokEsgDRsGSBPD3P-Efg25_FsTzprq2Yw=s120,KLAY,300,2500,9142,-1,0,0,0,0,3340829.30563557
11,SheepFarm,https://lh3.googleusercontent.com/ynlAQE698lEpXooP100VUIGQIUdFapJZweh8WhPuvnucEuRv5DcL0PFo80dgkdiQY3ydUaTl7ZzsGl51NCNpuAp-Wxswlq1O6RS6JQ=s120,KLAY,1.2,19150,226009,0.811171031780905,732003.424514928,-0.080481845672845,120392.180000001,3.8106734906885,4358954.34557717
12,"SYLTARE, Dawn of East",https://lh3.googleusercontent.com/sWsPZIov5KKOPsEJkt2OmwxGEkyQH65YDrZhqaX7I-Ayj-XQRNhdxyXwQniyi0GplXl_CHokEsgDRsGSBPD3P-Efg25_FsTzprq2Yw=s120,KLAY,1580,2275,9136,-0.691583008763186,307230.25,-0.033372641509434,40985,0,2374129.47651121
