ranking,name,logo,nativePaymentAsset,floorPrice,numOwners,totalSupply,sevenDayChange,sevenDayVolume,oneDayChange,oneDayVolume,thirtyDayChange,totalVolume
1,Decentral Games ICE Poker,https://lh3.googleusercontent.com/vqpagZzkUkiTlLR1DHyw58wc6uxfEegI8NbeFo45mubN2O3m8WTGTG59xXPQCflsAXLs_EcmR3tIiic_1Alet6E0z2YcXtIMxWfVWw=s120,ETH,1.86,4129,21758,0.066797145036771,520.103899,1.73996823341508,185.7893,-0.35939421030812,8974.00616433118
2,The Martians: Metaverse,https://lh3.googleusercontent.com/IQT-uqtTooKkCKVHI1AKVUczl1LIIT1fR8NZEUh0EzrB-Frs7y-54bZ3SZ0zG8WimxzShQsc2i2QLSuwRokL5IOfu8FpnlzmjPXq3w=s120,ETH,0.899,3125,5000,-0.630956265006607,79.643,0.126114189351964,9.349,9.31944182330263,1416.71304
3,FancyBirds,https://lh3.googleusercontent.com/wrElaEBwneqKR669amNlLLxXC7rKuXoc50Et36hnwqYQcs2oa2cBtuKN1ogPnSJN8okccSoeqvpRTvdYwPFwPVyu8-4p33p6RCuwL_g=s120,ETH,0.194,1703,8888,-0.682207606674011,54.175189,0.174102934200034,11.63219,5.35604357225728,1415.73300886666
4,Crypto Unicorns Market,https://lh3.googleusercontent.com/jLi7QyLxZLXAeAqtKuecs5ebhGpDwWG6iI_EsfeXanpCCjCnDtqW9Db4b2ZAO0poqfIgBuGdYmyJCFL-c9wVJFIjJUZ2Lmna13kTDg=s120,ETH,1.17,537,10000,0.008144924901114,187.409,1.35112432153011,36.386,-0.786494994862502,6985.57025593996
5,ZED RUN Legacy,https://lh3.googleusercontent.com/tgpgbT3OwxX4REASLdyafzCWQ5EhOtgSiIlhI3am3aZ_mYPS0WbM9Z4F6hOhb0D-AKqhHlFg6BNBquchQy-_bwY=s120,ETH,0.0086,42573,217935,-0.672931434086717,15.94498543,2.84065951643992,4.802015,-0.730598092472396,46198.1455505092
6,Crypto Unicorns Land Market,https://lh3.googleusercontent.com/jLi7QyLxZLXAeAqtKuecs5ebhGpDwWG6iI_EsfeXanpCCjCnDtqW9Db4b2ZAO0poqfIgBuGdYmyJCFL-c9wVJFIjJUZ2Lmna13kTDg=s120,ETH,0.094,6940,29998,-0.368256230449374,87.9255648999998,0.596243448241168,20.456977,-0.687013144629487,2586.21941933554
7,Space Game - Marines & Aliens,https://lh3.googleusercontent.com/OE7EAlp8t48ctvD-Vwcplc93Xt-JunS55oaWK2rXfs1JBmQJE4xpU2_2xIV4qninTMvru5Bxizl33m7rmjalo9nMAQ9dJxkd7Wn5Jg=s120,ETH,0.0132,756,27959,-0.658470880410411,13.60582,-0.562287199480182,1.17887,4.0110018109036,609.4913591681
8,Crypto Unicorns Shadowcorns,https://lh3.googleusercontent.com/EorjfSP6_15XdWcMLzJqHTC-y1aadmGeL_jydEtpL4aTj--lUdQ1GWy_bdvb8PN6Dmf46rXOZxgYQkbDVEoNnjHrWKO9HUdc39RdPkA=s120,ETH,0.075,1285,5,-0.439089469951314,78.8841,-0.231035477357946,18.662,1.17681167994885,739.0493076
9,Phantom Galaxies Origin Collection,https://lh3.googleusercontent.com/NZ0WI9Fxr69mfjNye3t2Ct_Uk-JnPTqWoA7TF4RK18wslgZkR2I1WJ1Uw6PzLK9oj-r02r5r30VR7TVNYqidtg4b75rBqD5p7E1S9g=s120,ETH,0.0065,529042,2,-0.744696625554892,18.44477348,0.182128226515862,3.986352,-0.543002419956738,1472.94003292456
10,ZED RUN,https://lh3.googleusercontent.com/tgpgbT3OwxX4REASLdyafzCWQ5EhOtgSiIlhI3am3aZ_mYPS0WbM9Z4F6hOhb0D-AKqhHlFg6BNBquchQy-_bwY=s120,ETH,0.005,16482,139764,-0.379261328793448,89.9529197838001,0.274194242616503,17.46375368,0,306.031669527901
