ranking,name,logo,nativePaymentAsset,floorPrice,numOwners,totalSupply,sevenDayChange,sevenDayVolume,oneDayChange,oneDayVolume,thirtyDayChange,totalVolume
1,Aurory,https://lh3.googleusercontent.com/Qzl6u460tNyzWFrlaLQIa2VMBc1HBX5X7IDfEYBbKV3q1p_BDVkqC-A7-DS5RA-IKagzD0m7J-LDpmr_XnY2ocsTcXGM01DXM7lqUg=s120,SOL,55,3047,10005,5.34120954003407,3661.70679857013,1.08988130215066,874.668546212317,0,4386.71154310809
2,Grim Syndicate,https://lh3.googleusercontent.com/Ufl2FO0Rb42lXVfcGnD9n8b2rb8kMoJELQtTJxwadm21kfB1IvvfzS0YkfAv2UHib5-Dw7RLSCZghrbkaAaqMZeLi8usDOYuoqFb0A=s120,SOL,11.69,2720,10000,1.35397968146898,1185.10849809971,-0.566484517304189,23.4410114862102,0,1775.57477352351
3,Degenerate Ape Academy,https://lh3.googleusercontent.com/UdurmG-0kGw9AB4E0E9ZosS2g-WTsTdvfyjCJgxPY2oSTTU1JaMFvvkODa0xni1hpX2FKbl1FqA-Ba2zRQ8fEGqugMjATolXKdrq=s120,SOL,70,4187,9994,6.74706994328923,1212.24114160069,-0.597883597883598,74.935603241791,0,1704.96442480061
4,Solana Monkey Business,https://lh3.googleusercontent.com/gRSzhQDZEhYJys7z2tstXwunuijtKBYVuomSHTTQJhUsNnxzhyhySO6qzizWA44xFTO3r2HNyWhYK8KFYd7MNHovXlG6WfJKRb1cFFE=s120,SOL,240,2523,4971,-0.729208735332464,207.847719398413,-1,0,0,1535.81132232987
5,Space Runners,https://lh3.googleusercontent.com/JhX9z0tHr3P2SCx5UY_To2--PVnsItTQWLYB1bLAIk4P_1TUiH6253hOz8f8NTRf__Sp74h6jdilKRmJW0dQ8aE0VuvaofZT880low=s120,SOL,18.5,5053,9888,-1,0,0,0,0,1262.17413707806
6,Nyan Heroes,https://lh3.googleusercontent.com/ytTTIXSJUyuoy1UM9fPiVm3ORAqnbO17lRJ_KsYeMg8pjtJDk31026BR7hcUWjnbl7JW6nfwLTgn9Mox0hRekY8-DiqyR32N-BdnVw=s120,SOL,10.7,8198,11109,0.838088193857425,511.669560874532,-0.924220896087904,15.6872649778537,0,1209.35086622396
7,Monkey Kingdom,https://lh3.googleusercontent.com/u1RQVEGxmSY2gOkBLVGMFI8DC553hJ9eiyfI-hKaSWJZ-86CZ48DUqSsaS8b-gck4h7iXy-wSGnIfFCUHSQ49jEO-y1_289cbEVEIQ=s120,SOL,43,974,2222,-0.703244035161155,275.766746728323,-1,0,0,1205.03786307498
8,Dope Cats,https://lh3.googleusercontent.com/FnsRY_1Bs5Vz4OkRaaV5WuLZqKX8ZN2VMehyxB__-KTJIBiMj-OeN78yS1f55DtMGEkAbgw7NP50HN8trgwd7Fr26zqXCt16ar0D1w=s120,SOL,0.9,1296,3333,-0.887277255743117,26.330155750054,0.230660593340828,5.22846776936687,0,1194.03377474785
9,DeGods,https://lh3.googleusercontent.com/OYvE-daPlxRCqry6lJY2SaXKodbD1-2jTucE7l2iEb50no017kXDuu9uYVt44To6930sL3xtSrm3XpSedtpXbcIydIv-xK0WLIxx=s120,SOL,,4651,10000,-1,0,0,0,0,1044.11840437888
10,SolGoros,https://lh3.googleusercontent.com/U3oZziRH5O-dIcaBWi_rkY_-VpTvICeK6U9G5f169OXbWKE7-K-wdA0sFCOR6Ed-MuhO7DvRT46bKAyyZYGvwe2UjcRtrXHEkS1xHg=s120,SOL,9,177,1396,0,996.525332458039,20.2250377375515,871.099611002516,0,996.525332458039
